"","mRNAselected_values","ENSG"
"MMRF_1153","11.8418","1153"
"MMRF_2328","13.7105","2328"
"MMRF_1373","14.1627","1373"
"MMRF_1408","14.4879","1408"
"MMRF_1785","10.8666","1785"
"MMRF_1484","14.943","1484"
"MMRF_1289","12.6971","1289"
"MMRF_2675","17.2595","2675"
"MMRF_1490","17.527","1490"
"MMRF_2808","16.2562","2808"
"MMRF_1665","20.5709","1665"
"MMRF_1466","15.5481","1466"
"MMRF_2721","20.0702","2721"
"MMRF_2449","18.2695","2449"
"MMRF_1539","10.1127","1539"
"MMRF_1092","15.1792","1092"
"MMRF_1846","16.0844","1846"
"MMRF_2183","18.6275","2183"
"MMRF_1359","18.2745","1359"
"MMRF_1502","12.1977","1502"
"MMRF_1579","12.9029","1579"
"MMRF_1500","12.7633","1500"
"MMRF_1534","13.7479","1534"
"MMRF_2490","21.6386","2490"
"MMRF_2490","27.2254","2490"
"MMRF_2173","14.2068","2173"
"MMRF_1261","15.2579","1261"
"MMRF_1698","17.5162","1698"
"MMRF_1733","16.7525","1733"
"MMRF_1327","9.4467","1327"
"MMRF_2367","13.366","2367"
"MMRF_1814","17.5431","1814"
"MMRF_2213","12.012","2213"
"MMRF_2613","12.6252","2613"
"MMRF_2613","14.8263","2613"
"MMRF_2737","16.6889","2737"
"MMRF_1932","14.3295","1932"
"MMRF_2654","16.5093","2654"
"MMRF_2062","19.6633","2062"
"MMRF_1580","23.3195","1580"
"MMRF_1739","18.0892","1739"
"MMRF_2535","11.0265","2535"
"MMRF_1504","13.5834","1504"
"MMRF_1637","7.9467","1637"
"MMRF_1974","14.0007","1974"
"MMRF_1730","22.1824","1730"
"MMRF_1078","10.9671","1078"
"MMRF_2814","11.2837","2814"
"MMRF_1997","9.1093","1997"
"MMRF_1030","15.3489","1030"
"MMRF_2644","26.0074","2644"
"MMRF_2815","30.171","2815"
"MMRF_2770","13.4692","2770"
"MMRF_2522","8.7236","2522"
"MMRF_1314","18.0817","1314"
"MMRF_1773","18.719","1773"
"MMRF_2087","9.0163","2087"
"MMRF_2087","10.5411","2087"
"MMRF_1355","20.4955","1355"
"MMRF_1185","9.434","1185"
"MMRF_2580","8.1961","2580"
"MMRF_1715","13.1277","1715"
"MMRF_1656","15.3701","1656"
"MMRF_1656","19.8543","1656"
"MMRF_2793","7.8958","2793"
"MMRF_1825","25.0907","1825"
"MMRF_2082","15.1828","2082"
"MMRF_2746","10.5005","2746"
"MMRF_2799","22.3721","2799"
"MMRF_1913","15.6127","1913"
"MMRF_2429","11.0792","2429"
"MMRF_2273","11.3396","2273"
"MMRF_1832","7.2503","1832"
"MMRF_1038","8.9226","1038"
"MMRF_1086","14.3258","1086"
"MMRF_2026","18.6469","2026"
"MMRF_1978","19.9433","1978"
"MMRF_1978","14.0592","1978"
"MMRF_2587","11.4901","2587"
"MMRF_1516","11.9427","1516"
"MMRF_1098","17.5011","1098"
"MMRF_2829","4.4215","2829"
"MMRF_2476","12.0278","2476"
"MMRF_1893","9.6377","1893"
"MMRF_2091","12.9197","2091"
"MMRF_1792","18.4382","1792"
"MMRF_1839","11.9561","1839"
"MMRF_1331","15.9523","1331"
"MMRF_1242","12.7609","1242"
"MMRF_1242","17.9599","1242"
"MMRF_2605","10.5557","2605"
"MMRF_1624","17.8421","1624"
"MMRF_2457","17.5942","2457"
"MMRF_1031","5.7575","1031"
"MMRF_2549","10.646","2549"
"MMRF_1851","10.9476","1851"
"MMRF_1851","12.8669","1851"
"MMRF_2116","10.6308","2116"
"MMRF_2266","15.2529","2266"
"MMRF_2630","10.3524","2630"
"MMRF_1782","15.1076","1782"
"MMRF_1759","15.9253","1759"
"MMRF_1364","12.2794","1364"
"MMRF_1648","18.8287","1648"
"MMRF_2081","9.4037","2081"
"MMRF_2831","27.7779","2831"
"MMRF_2807","10.4305","2807"
"MMRF_2453","15.4836","2453"
"MMRF_1311","18.8162","1311"
"MMRF_2579","10.1373","2579"
"MMRF_1720","12.6778","1720"
"MMRF_1655","12.8569","1655"
"MMRF_2251","15.6678","2251"
"MMRF_1335","9.9646","1335"
"MMRF_2097","18.3415","2097"
"MMRF_1721","13.119","1721"
"MMRF_1244","21.5313","1244"
"MMRF_2433","12.588","2433"
"MMRF_2111","11.1156","2111"
"MMRF_1627","15.2263","1627"
"MMRF_1627","12.6005","1627"
"MMRF_1266","21.7187","1266"
